method,f1_macro,f1_weighted,precision_macro,recall_macro,latency_ms_per_sample,f1_legit,f1_sqli,f1_obfuscated,f1_privilege,f1_exfiltration
LLM Llama-3.3-70B (zero_shot),0.702,0.7138,0.772,0.692,68.47,0.72,0.7,0.76,0.83,0.5
LLM Llama-3.3-70B (few_shot),0.624,0.592,0.704,0.644,51.05,0.77,0.63,0.16,0.97,0.59
LLM zai-org-GLM-5.1 (few_shot),0.708386766155272,0.708386766155272,0.7471117746646574,0.72,4819.412998000335,0.7631578947368421,0.8169014084507042,0.72,0.6122448979591837,0.6296296296296297
LLM openai-gpt-oss-120b (few_shot),0.749071783908671,0.749071783908671,0.8119516175170334,0.76,3288.813406000554,0.7160493827160493,0.9152542372881356,0.935483870967742,0.5714285714285714,0.6071428571428571
