method,f1_macro,f1_weighted,precision_macro,recall_macro,latency_ms_per_sample,f1_legit,f1_sqli,f1_obfuscated,f1_privilege,f1_exfiltration
Regex,0.65497769289351,0.8369572162673632,0.7607210967468981,0.6499698196332597,0.02412134952273602,0.9116815826660386,0.7453572552722695,0.8042105263157895,0.5619834710743802,0.25165562913907286
TF-IDF + LogReg,0.9519040125550008,0.9901628419750793,0.9433196405682001,0.9623109663260865,0.09996661543169755,0.9955924946480292,0.9923097321665341,0.9908015768725361,0.9044117647058824,0.8764044943820225
TF-IDF + LinearSVC,0.9607968469180841,0.9928532785569559,0.9544122282740511,0.9681054350091088,0.10176474024058765,0.9972278225806451,0.9947089947089947,0.9960681520314548,0.9117647058823529,0.9042145593869731
TF-IDF + RandomForest,0.9466993614858366,0.9910988894477663,0.9582071948511987,0.9361275766974414,0.13307720565660394,0.9962330487192366,0.9957671957671957,0.9947368421052631,0.8823529411764706,0.864406779661017
